VideoID,Title,PublishedAt,ChannelName,Views,Likes,Comments,Duration_seconds
OTnL5TpM_Bs,الدحيح | الأزاريطة,2021-07-31 18:00:06+00:00,New Media Academy Life ,2660995.0,108183.0,2789.0,1041.0
u2a6UKacaU4,الدحيح | محمد فوزي,2021-07-27 18:00:28+00:00,New Media Academy Life ,2743501.0,125331.0,6206.0,1361.0
zykcNlnztT4,الدحيح | ليه المصريين جامدين في الاسكواش؟,2021-07-24 18:00:14+00:00,New Media Academy Life ,2208852.0,97847.0,3691.0,1617.0
a8BN5ho9oik,الدحيح | الترانزستور,2021-07-20 18:00:00+00:00,New Media Academy Life ,6131116.0,235941.0,12856.0,2035.0
-1wq0KL5lvM,الدحيح | أخطار الميك أب,2021-07-17 18:00:01+00:00,New Media Academy Life ,4512436.0,204595.0,5573.0,1231.0
7r0U5BbBHPs,الدحيح | لانش بوكس,2021-07-13 18:00:02+00:00,New Media Academy Life ,3333611.0,147986.0,3903.0,1248.0
YN16vJRqCGQ,الدحيح | عمليات التجميل,2021-07-10 18:00:06+00:00,New Media Academy Life ,2677027.0,155367.0,5714.0,1016.0
wKi0ETe_zY8,الدحيح | رحمة الموت,2021-07-06 18:00:11+00:00,New Media Academy Life ,2779315.0,163117.0,6213.0,869.0
PIn-givpaE0,الدحيح | الدورة الشهرية,2021-07-03 18:00:05+00:00,New Media Academy Life ,8243302.0,407731.0,15381.0,948.0
cOch7WzE86o,الدحيح | سمكة القرش,2021-06-29 18:00:09+00:00,New Media Academy Life ,4817650.0,222024.0,6308.0,1233.0
NW5DLCWdsbs,الدحيح | الشيخوخة,2021-06-26 18:00:05+00:00,New Media Academy Life ,2714603.0,165356.0,6398.0,876.0
QPaI8xVWBjY,الدحيح | هل الارض مسطحة؟,2021-06-22 18:00:05+00:00,New Media Academy Life ,8324599.0,307747.0,22123.0,1369.0
NNEhETUAPQQ,الدحيح | خمر الصالحين,2021-06-19 18:00:04+00:00,New Media Academy Life ,6083501.0,262100.0,11459.0,1554.0
x_fW3gRHp2M,الدحيح | أين ذهبت النساء؟,2021-06-15 18:39:11+00:00,New Media Academy Life ,6378625.0,393078.0,20456.0,1175.0
tLUqvthSY6s,الدحيح | الملل,2021-06-12 18:00:10+00:00,New Media Academy Life ,7820431.0,590449.0,48101.0,905.0
efigiluZEHA,الحساسية | الدحيح,2023-07-25 17:00:07+00:00,New Media Academy Life ,4933303.0,137558.0,2439.0,1396.0
BAx0LI6NnNg,الهاكر | الدحيح,2023-07-22 17:00:06+00:00,New Media Academy Life ,6668711.0,176655.0,2284.0,1557.0
51MSQkHRwDg,فوبيا | الدحيح,2023-07-18 17:00:10+00:00,New Media Academy Life ,2802362.0,85138.0,1676.0,1557.0
vUaLZYAiolw,رجل ساذج في الرايخ الثالث | الدحيح,2023-07-15 17:00:07+00:00,New Media Academy Life ,4994684.0,153577.0,1976.0,2001.0
G28SocqOwOE,الأندرتيكر | الدحيح,2023-07-11 17:00:07+00:00,New Media Academy Life ,5650997.0,160081.0,4581.0,2431.0
u4UTjxo54_A,التأمين | الدحيح,2023-07-08 17:00:09+00:00,New Media Academy Life ,1966306.0,56035.0,871.0,1364.0
tXZB5AJmrvM,جيل زد | الدحيح,2023-07-04 17:00:10+00:00,New Media Academy Life ,4678694.0,180976.0,4476.0,1211.0
NlHwOzwbYpE,تاريخ الجنون | الدحيح,2023-07-01 17:00:09+00:00,New Media Academy Life ,2620682.0,66094.0,1448.0,1922.0
YPOiNF0riyA,آخر يوم في العالم | الدحيح,2023-06-27 17:00:10+00:00,New Media Academy Life ,8587018.0,190491.0,3617.0,1848.0
FHrpR_GrKp0,الصين | الدحيح,2023-06-24 17:00:09+00:00,New Media Academy Life ,7954415.0,140637.0,2834.0,2390.0
wgD_XDbapjs,البطارية | الدحيح,2023-06-20 17:00:09+00:00,New Media Academy Life ,3099933.0,88673.0,4206.0,1750.0
jMEEA8Kbf24,الليجو | الدحيح,2023-06-17 17:00:09+00:00,New Media Academy Life ,1750810.0,59366.0,1168.0,1359.0
WlO-riE-Nm8,الفيل الأزرق | الدحيح,2023-06-13 17:00:10+00:00,New Media Academy Life ,4632317.0,100594.0,1860.0,1830.0
19cSn7JRmO8,تاريخ جهنم | الدحيح,2023-06-10 17:00:10+00:00,New Media Academy Life ,5403575.0,134801.0,17665.0,2065.0
Q4L00UAt5JY,نهاية الديناصورات | الدحيح,2023-06-06 17:00:08+00:00,New Media Academy Life ,6084157.0,178534.0,4459.0,1358.0
MSTHbT8ZuCs,الأب | الدحيح,2023-06-03 17:00:09+00:00,New Media Academy Life ,3572675.0,107551.0,2665.0,1713.0
